timeframe,rank,similarity,candidate_start,candidate_end,before_archetype,matched_archetype,after_archetype,before_micro_behaviour,matched_micro_behaviour,after_micro_behaviour,before_bullish,matched_bullish,after_bullish,before_range,matched_range,after_range
3m,17,0.3299119250000479,26015,26034,REJECTION_MIX,MIXED_BEHAVIOUR,SIDEWAYS_COMPRESSION,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,BALANCED_COMPRESSION,0.4,0.5,0.6,1.094283494555104,0.9431245737312137,0.7799367070296327
3m,18,0.329895674256261,5579,5598,HIGH_ALTERNATION,BEARISH_TO_BULLISH_SHIFT,REJECTION_MIX,HIGH_ALTERNATION,REJECTION_BALANCE,HIGH_ALTERNATION,0.5,0.6,0.5,1.0684387651963567,0.8651754105650747,1.0388725283734155
3m,19,0.32979472102055435,19556,19575,REJECTION_MIX,SIDEWAYS_TO_DIRECTIONAL,SIDEWAYS_COMPRESSION,DIRECTIONAL_COMPRESSION,RANGE_EXPANSION,WICK_REJECTION_COMPRESSION,0.4,0.3,0.6,0.9424741506075491,1.3090462751296161,0.7347007725397257
3m,20,0.32909203104128637,29492,29511,REJECTION_MIX,REJECTION_MIX,EXPANSION_SEQUENCE,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,RANGE_EXPANSION,0.6,0.5,0.6,1.1690263877000924,1.1572393665523257,1.0398141851532283
3m,21,0.32776386960985815,21945,21964,SIDEWAYS_COMPRESSION,EXPANSION_SEQUENCE,SIDEWAYS_COMPRESSION,WICK_REJECTION_COMPRESSION,RANGE_EXPANSION,WICK_REJECTION_COMPRESSION,0.6,0.5,0.4,0.9483578389950237,1.2735788595987532,0.9209753934756975
3m,22,0.32686511407789137,22942,22961,REJECTION_MIX,EXPANSION_SEQUENCE,SIDEWAYS_COMPRESSION,REJECTION_BALANCE,RANGE_EXPANSION,BALANCED_COMPRESSION,0.6,0.5,0.6,0.9308821463950988,1.199177159565301,0.865279142773225
3m,23,0.32663993553775844,1653,1672,REJECTION_MIX,REJECTION_MIX,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,REJECTION_BALANCE,0.4,0.45,0.6,1.1180264856354614,1.058808455121341,0.887503219169739
3m,24,0.32641026383002075,9631,9650,EXPANSION_SEQUENCE,REJECTION_MIX,PERSISTENT_BULLISH_BODY,RANGE_EXPANSION,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,0.9,0.4,1.0,1.6423926565290892,0.8679605855553554,2.042822951253225
3m,25,0.32617159514220734,72,91,SIDEWAYS_COMPRESSION,REJECTION_MIX,REJECTION_MIX,WICK_REJECTION_COMPRESSION,REJECTION_BALANCE,MIXED_MICRO_BEHAVIOUR,0.5,0.5,0.5,0.7230814548115052,0.9997605815336303,1.0629544456021642
5m,1,0.3439495453366893,2183,2202,BEARISH_TO_BULLISH_SHIFT,REJECTION_MIX,REJECTION_MIX,RANGE_EXPANSION,HIGH_ALTERNATION,HIGH_ALTERNATION,0.4,0.7,0.5,1.1788021354794223,1.6748973413515849,1.4073148321003475
5m,2,0.34254098835346464,14594,14613,REJECTION_MIX,EXPANSION_SEQUENCE,SIDEWAYS_TO_DIRECTIONAL,HIGH_ALTERNATION,RANGE_EXPANSION,MIXED_MICRO_BEHAVIOUR,0.7,0.6,0.7,0.8636974704706588,1.1781723683631686,1.1396910416446109
5m,3,0.34240731157337173,7110,7129,REJECTION_MIX,MIXED_BEHAVIOUR,HIGH_ALTERNATION,REJECTION_BALANCE,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.5,0.6,0.5,0.870052009782013,0.900741940821702,2.036418991228238
5m,4,0.3380523925440677,29956,29975,BEARISH_TO_BULLISH_SHIFT,REJECTION_MIX,SIDEWAYS_TO_DIRECTIONAL,DIRECTIONAL_COMPRESSION,HIGH_ALTERNATION,RANGE_EXPANSION,0.7,0.5,0.7,1.0348888754314518,1.0947913539291734,1.364234214800194
5m,5,0.3367324550645847,17394,17413,REJECTION_MIX,REJECTION_MIX,EXPANSION_SEQUENCE,DIRECTIONAL_COMPRESSION,DIRECTIONAL_COMPRESSION,RANGE_EXPANSION,0.6,0.55,0.6,0.9433215249252382,0.9657321014577904,1.8617753628865543
5m,6,0.33631628590053014,6785,6804,EXPANSION_SEQUENCE,REJECTION_MIX,REJECTION_MIX,RANGE_EXPANSION,HIGH_ALTERNATION,REJECTION_BALANCE,0.4,0.5,0.7,1.215044707183137,1.2392159613135545,1.3133102270114734
5m,7,0.3350253965947196,16322,16341,HIGH_ALTERNATION,SIDEWAYS_COMPRESSION,EXPANSION_SEQUENCE,HIGH_ALTERNATION,WICK_REJECTION_COMPRESSION,RANGE_EXPANSION,0.5,0.55,0.8,0.9341199809054587,0.7702876092491395,1.079937807204939
5m,8,0.3337767548077475,18018,18037,REJECTION_MIX,REJECTION_MIX,REJECTION_MIX,HIGH_ALTERNATION,HIGH_ALTERNATION,REJECTION_BALANCE,0.4,0.6,0.6,1.088349173739248,1.3678197962993721,1.6450744545364278
5m,9,0.3337584141505599,11360,11379,BULLISH_TO_BEARISH_SHIFT,BEARISH_TO_BULLISH_SHIFT,SIDEWAYS_COMPRESSION,DIRECTIONAL_COMPRESSION,RANGE_EXPANSION,WICK_REJECTION_COMPRESSION,0.4,0.65,0.4,0.8801675833680734,1.4131344521060059,0.9019887466856433
5m,10,0.33324386389300414,20403,20422,HIGH_ALTERNATION,SIDEWAYS_COMPRESSION,REJECTION_MIX,HIGH_ALTERNATION,WICK_REJECTION_COMPRESSION,HIGH_ALTERNATION,0.4,0.55,0.5,1.0620731248365591,0.8060518952774579,1.1758535500132958
5m,11,0.3331451535416539,29903,29922,REJECTION_MIX,SIDEWAYS_COMPRESSION,SIDEWAYS_COMPRESSION,HIGH_ALTERNATION,WICK_REJECTION_COMPRESSION,BALANCED_COMPRESSION,0.5,0.6,0.4,2.284441937548682,0.7553262648345156,0.6532020486616136
5m,12,0.33305563285081974,3572,3591,EXPANSION_SEQUENCE,REJECTION_MIX,BULLISH_TO_BEARISH_SHIFT,RANGE_EXPANSION,DIRECTIONAL_COMPRESSION,BEARISH_SHIFT,0.2,0.65,0.4,1.5635180031881208,0.9174073946981224,1.1408321541092659
5m,13,0.3329739520693674,9503,9522,COMPRESSION_SEQUENCE,REJECTION_MIX,PERSISTENT_BEARISH_BODY,REJECTION_BALANCE,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,0.7,0.55,0.3,0.8926254478862805,1.0675175402337014,1.108317152315128
5m,14,0.33274415557733444,21723,21742,HIGH_ALTERNATION,SIDEWAYS_COMPRESSION,HIGH_ALTERNATION,HIGH_ALTERNATION,WICK_REJECTION_COMPRESSION,HIGH_ALTERNATION,0.6,0.55,0.6,1.6481841344010708,0.7422235478100289,1.8528828645440414
5m,15,0.3323720595941882,12051,12070,SIDEWAYS_COMPRESSION,REJECTION_MIX,REJECTION_MIX,WICK_REJECTION_COMPRESSION,REJECTION_BALANCE,REJECTION_BALANCE,0.4,0.5,0.6,0.7877331366832828,0.8644862947383792,1.047971651318572
5m,16,0.33189292258970804,29701,29720,MIXED_BEHAVIOUR,REJECTION_MIX,SIDEWAYS_COMPRESSION,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,BALANCED_COMPRESSION,0.4,0.55,0.6,1.1530787213572973,0.9204067492509905,0.8678483988220153
5m,17,0.33149973950723327,6983,7002,SIDEWAYS_TO_DIRECTIONAL,REJECTION_MIX,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.3,0.5,0.5,0.7842675034643123,1.374523543429713,0.9333074533256523
5m,18,0.3309381342093979,14348,14367,BULLISH_TO_BEARISH_SHIFT,REJECTION_MIX,SIDEWAYS_TO_DIRECTIONAL,DIRECTIONAL_COMPRESSION,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.6,0.5,0.3,0.841843231213581,0.9476002499651406,1.046782872904949
5m,19,0.33055206331866166,5487,5506,SIDEWAYS_TO_DIRECTIONAL,SIDEWAYS_TO_DIRECTIONAL,HIGH_ALTERNATION,RANGE_EXPANSION,RANGE_EXPANSION,HIGH_ALTERNATION,0.7,0.65,0.4,1.5212141160799821,1.3411714028814794,0.9326832362130139
5m,20,0.330489306446293,12953,12972,BEARISH_TO_BULLISH_SHIFT,REJECTION_MIX,MIXED_BEHAVIOUR,RANGE_EXPANSION,REJECTION_BALANCE,MIXED_MICRO_BEHAVIOUR,0.6,0.5,0.4,2.339521636117803,1.0536076947012067,1.7370249333485996
5m,21,0.3304885537188537,25849,25868,HIGH_ALTERNATION,COMPRESSION_SEQUENCE,BULLISH_TO_BEARISH_SHIFT,HIGH_ALTERNATION,HIGH_ALTERNATION,WICK_REJECTION_COMPRESSION,0.4,0.65,0.4,0.9208083843241246,0.8081205286670631,0.9647278873361215
5m,22,0.3304181601339829,22326,22345,SIDEWAYS_COMPRESSION,REJECTION_MIX,EXPANSION_SEQUENCE,WICK_REJECTION_COMPRESSION,DIRECTIONAL_COMPRESSION,RANGE_EXPANSION,0.5,0.6,0.5,0.9576627591613729,1.1448774883383466,1.5416220775020342
5m,23,0.32950854741948943,2315,2334,REJECTION_MIX,REJECTION_MIX,REJECTION_MIX,REJECTION_BALANCE,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,0.6,0.65,0.5,1.0400399015880244,0.9973615953874029,1.3245206387741442
5m,24,0.32945723866436916,20074,20093,EXPANSION_SEQUENCE,REJECTION_MIX,SIDEWAYS_COMPRESSION,RANGE_EXPANSION,HIGH_ALTERNATION,BALANCED_COMPRESSION,0.6,0.55,0.6,1.3068676811966093,1.4014399114638947,0.7801112957328626
5m,25,0.32945085309919186,18360,18379,PERSISTENT_BEARISH_BODY,REJECTION_MIX,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,REJECTION_BALANCE,0.2,0.55,0.7,1.1334468535551754,0.893479814751539,1.1015856578219583
15m,1,0.3768985653935664,14991,15010,REJECTION_MIX,SIDEWAYS_TO_DIRECTIONAL,SIDEWAYS_COMPRESSION,REJECTION_BALANCE,RANGE_EXPANSION,WICK_REJECTION_COMPRESSION,0.6,0.7,0.5,0.8834042446540126,1.5726422961090651,0.7482533592919067
15m,2,0.37048035762095693,2335,2354,REJECTION_MIX,EXPANSION_SEQUENCE,BULLISH_TO_BEARISH_SHIFT,BULLISH_SHIFT,RANGE_EXPANSION,BEARISH_SHIFT,0.5,0.5,0.6,1.1136245653848527,1.0848064409438396,0.9981539844215919
15m,3,0.36404172962291714,15095,15114,REJECTION_MIX,SIDEWAYS_TO_DIRECTIONAL,REJECTION_MIX,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,HIGH_ALTERNATION,0.4,0.65,0.4,0.9508057313789633,0.9872393383690348,0.9242896791294811
15m,4,0.35297808673113307,5617,5636,REJECTION_MIX,EXPANSION_SEQUENCE,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR,RANGE_EXPANSION,REJECTION_BALANCE,0.6,0.45,0.7,1.111814418687793,1.0987895708306714,0.8200609052709277
15m,5,0.35007080784301187,27274,27293,REJECTION_MIX,EXPANSION_SEQUENCE,SIDEWAYS_COMPRESSION,HIGH_ALTERNATION,RANGE_EXPANSION,WICK_REJECTION_COMPRESSION,0.6,0.75,0.6,2.606027046561576,1.6149621516140507,0.8707853605873652
15m,6,0.3460577816936714,12348,12367,HIGH_ALTERNATION,REJECTION_MIX,SIDEWAYS_COMPRESSION,HIGH_ALTERNATION,MIXED_MICRO_BEHAVIOUR,WICK_REJECTION_COMPRESSION,0.6,0.5,0.6,0.9962917958429995,0.9650751419152375,0.870011797313618
15m,7,0.34602206614787206,22041,22060,REJECTION_MIX,BULLISH_TO_BEARISH_SHIFT,REJECTION_MIX,REJECTION_BALANCE,DIRECTIONAL_COMPRESSION,HIGH_ALTERNATION,0.5,0.45,0.5,1.38382913101852,0.9580635754064593,1.3999711581947163
15m,8,0.34213439589873607,23384,23403,HIGH_ALTERNATION,EXPANSION_SEQUENCE,HIGH_ALTERNATION,HIGH_ALTERNATION,RANGE_EXPANSION,HIGH_ALTERNATION,0.6,0.5,0.5,1.0010584855115645,1.096290073121109,1.2598295779486746
15m,9,0.33985607951297886,12605,12624,REJECTION_MIX,REJECTION_MIX,REJECTION_MIX,REJECTION_BALANCE,HIGH_ALTERNATION,HIGH_ALTERNATION,0.6,0.5,0.6,0.7926876477684666,1.0079023416086372,0.9942483344792447
15m,10,0.33926839089900845,18592,18611,EXPANSION_SEQUENCE,REJECTION_MIX,EXPANSION_SEQUENCE,RANGE_EXPANSION,REJECTION_BALANCE,RANGE_EXPANSION,0.2,0.35,0.5,1.273324895676842,1.3173122618328295,1.7324348258614717
15m,11,0.33908320353689336,561,580,SIDEWAYS_COMPRESSION,REJECTION_MIX,SIDEWAYS_TO_DIRECTIONAL,BALANCED_COMPRESSION,HIGH_ALTERNATION,RANGE_EXPANSION,0.4,0.4,0.3,0.8668259849133865,1.4364522073217116,0.9382885056927567
15m,12,0.3367689242114424,10450,10469,EXPANSION_SEQUENCE,EXPANSION_SEQUENCE,REJECTION_MIX,RANGE_EXPANSION,RANGE_EXPANSION,REJECTION_BALANCE,0.6,0.8,0.7,1.044583237839889,1.7100588799699719,1.0374687206159527
15m,13,0.3362532870106219,12410,12429,SIDEWAYS_COMPRESSION,BEARISH_TO_BULLISH_SHIFT,REJECTION_MIX,BALANCED_COMPRESSION,BULLISH_SHIFT,DIRECTIONAL_COMPRESSION,0.4,0.5,0.3,0.7730896022489537,0.9950925764349456,0.8846017820965131
15m,14,0.3358549550033493,1066,1085,REJECTION_MIX,BEARISH_TO_BULLISH_SHIFT,SIDEWAYS_COMPRESSION,MIXED_MICRO_BEHAVIOUR,DIRECTIONAL_COMPRESSION,BALANCED_COMPRESSION,0.3,0.5,0.5,1.9246165576555179,1.0004388198722167,0.9248751007889238
15m,15,0.3345119601501895,17073,17092,REJECTION_MIX,EXPANSION_SEQUENCE,REJECTION_MIX,HIGH_ALTERNATION,RANGE_EXPANSION,REJECTION_BALANCE,0.7,0.5,0.5,0.9137527996291575,1.4054450838355987,0.8320728550069987
15m,16,0.33312193927045874,2271,2290,BEARISH_TO_BULLISH_SHIFT,EXPANSION_SEQUENCE,BEARISH_TO_BULLISH_SHIFT,WICK_REJECTION_COMPRESSION,RANGE_EXPANSION,BULLISH_SHIFT,0.4,0.55,0.8,0.732280086696122,1.2465380368600978,1.1532684236648145
15m,17,0.33195486825373216,6351,6370,REJECTION_MIX,EXPANSION_SEQUENCE,SIDEWAYS_TO_DIRECTIONAL,REJECTION_BALANCE,RANGE_EXPANSION,MIXED_MICRO_BEHAVIOUR,0.7,0.5,0.7,0.9210067343143145,1.4551558983693467,1.1379906166562541
15m,18,0.3316362016150259,11928,11947,SIDEWAYS_COMPRESSION,EXPANSION_SEQUENCE,SIDEWAYS_COMPRESSION,WICK_REJECTION_COMPRESSION,RANGE_EXPANSION,WICK_REJECTION_COMPRESSION,0.6,0.5,0.4,0.664621298622186,1.7301545743156788,0.7617647370048501
