reference_timestamp,screen_rank,timeframe,candidate_start,candidate_end,candle_structure_similarity,story_similarity,family_story,story,synchronization
1788278400000,13,3m,22561,22580,0.47799625608971014,0.5833333333333333,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> COUNTERMOVE_AND_RENEWAL -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788278400000,13,5m,25528,25547,0.4278542848035602,0.625,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> DIRECTION_CHANGE -> REJECTION -> LEVEL_INTERACTION -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> COUNTERMOVE_AND_RENEWAL -> REJECTION_CLUSTER -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER,EXACT
1788278400000,13,15m,28496,28515,0.30879731436703045,0.5,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> PULLBACK -> REJECTION -> PULLBACK -> EXPANSION_AFTER_TEST -> HOLD -> PULLBACK,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> PULLBACK_CLUSTER -> REJECTION_CLUSTER -> PULLBACK_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> PULLBACK_CLUSTER,EXACT
1788278400000,13,30m,29238,29257,0.26661207668380243,0.4545454545454546,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST -> REJECTION -> HOLD -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_COMPRESSION -> COUNTERMOVE_AND_RENEWAL -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> HOLD_CLUSTER -> REJECTION_CLUSTER,EXACT
1788278400000,13,1h,29609,29628,0.1736710493511297,0.625,INITIAL_CONTEXT -> RANGE_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788278400000,13,4h,9888,9907,0.254291250848951,0.4285714285714286,INITIAL_CONTEXT -> BODY_CHANGE -> REJECTION -> HOLD -> LEVEL_INTERACTION -> REJECTION -> PULLBACK,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REJECTION_CLUSTER -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> PULLBACK_CLUSTER,EXACT
1788278400000,13,1d,2964,2983,0.20848785987243726,0.5,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,ASOF_CONTEXT
1788523200000,14,1m,11801,11820,0.6810971772362906,0.75,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788523200000,14,3m,23921,23940,0.33231247344790726,0.5833333333333333,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788523200000,14,5m,26344,26363,0.20495274918286152,0.75,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
