timeframe,rank,candidate_start,candidate_end,similarity,candles,bullish_fraction,bearish_fraction,alternation_fraction,compression_fraction,expansion_fraction,upper_rejection_fraction,lower_rejection_fraction,mean_body_pct,mean_range_ratio,first_half_bullish,second_half_bullish,directional_shift,range_shift,body_shift,archetype,micro_behaviour
3m,14,6340,6359,0.33467721500550995,20,0.5,0.5,0.5263157894736842,0.4,0.2,0.3,0.4,0.3990160571786846,0.9032093190087513,0.5,0.5,0.0,-0.12476626384321765,-0.14184722308389885,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
3m,15,15844,15863,0.33309803238900393,20,0.5,0.5,0.6842105263157895,0.6,0.25,0.4,0.3,0.5083299833416751,0.8489025416150963,0.6,0.4,-0.19999999999999996,0.07274864890590127,0.09279330165987354,SIDEWAYS_COMPRESSION,WICK_REJECTION_COMPRESSION
3m,16,1274,1293,0.3327662024106288,20,0.55,0.4,0.5789473684210527,0.5,0.35,0.2,0.45,0.5313533680284468,0.9622166514929692,0.5,0.6,0.09999999999999998,0.20457924400127747,0.2293969292337154,EXPANSION_SEQUENCE,RANGE_EXPANSION
3m,17,26015,26034,0.3299119250000479,20,0.5,0.5,0.5263157894736842,0.45,0.3,0.1,0.2,0.6171171767118222,0.9431245737312137,0.5,0.5,0.0,0.04980533136589815,0.05639523116444389,MIXED_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR
3m,18,5579,5598,0.329895674256261,20,0.6,0.4,0.42105263157894735,0.4,0.2,0.5,0.25,0.4882080601108131,0.8651754105650747,0.4,0.8,0.4,0.11690318982544756,-0.14716070278854176,BEARISH_TO_BULLISH_SHIFT,REJECTION_BALANCE
3m,19,19556,19575,0.32979472102055435,20,0.3,0.7,0.3157894736842105,0.2,0.5,0.15,0.45,0.49122029024488184,1.3090462751296161,0.3,0.3,0.0,0.43231032601658015,-0.04528332055293721,SIDEWAYS_TO_DIRECTIONAL,RANGE_EXPANSION
3m,20,29492,29511,0.32909203104128637,20,0.5,0.5,0.3684210526315789,0.35,0.45,0.3,0.35,0.5509726900157588,1.1572393665523257,0.4,0.6,0.19999999999999996,0.024128594371362944,0.02221883141685843,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
3m,21,21945,21964,0.32776386960985815,20,0.5,0.5,0.42105263157894735,0.3,0.5,0.35,0.15,0.49952427511389974,1.2735788595987532,0.4,0.6,0.19999999999999996,0.11529892632903604,-0.1445629930770299,EXPANSION_SEQUENCE,RANGE_EXPANSION
3m,22,22942,22961,0.32686511407789137,20,0.5,0.5,0.47368421052631576,0.3,0.4,0.2,0.5,0.45944521724433773,1.199177159565301,0.5,0.5,0.0,0.5175148360685603,0.24450791022219043,EXPANSION_SEQUENCE,RANGE_EXPANSION
3m,23,1653,1672,0.32663993553775844,20,0.45,0.55,0.3684210526315789,0.4,0.3,0.35,0.25,0.44513564378118636,1.058808455121341,0.4,0.5,0.09999999999999998,-0.06472865497326064,-0.0933875869910365,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
3m,24,9631,9650,0.32641026383002075,20,0.4,0.6,0.5263157894736842,0.45,0.15,0.25,0.35,0.5026943765632561,0.8679605855553554,0.4,0.4,0.0,-0.1964087567784012,-0.07810005405927223,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
3m,25,72,91,0.32617159514220734,20,0.5,0.5,0.5789473684210527,0.35,0.25,0.3,0.45,0.41916429441948366,0.9997605815336303,0.5,0.5,0.0,0.18607732247832565,0.045776347182919674,REJECTION_MIX,REJECTION_BALANCE
5m,1,2183,2202,0.3439495453366893,20,0.7,0.3,0.631578947368421,0.05,0.7,0.35,0.35,0.41741047452442104,1.6748973413515849,0.6,0.8,0.20000000000000007,-0.12794678796022896,-0.15065849376449036,REJECTION_MIX,HIGH_ALTERNATION
5m,2,14594,14613,0.34254098835346464,20,0.6,0.4,0.5789473684210527,0.25,0.4,0.3,0.15,0.5665395438997903,1.1781723683631686,0.5,0.7,0.19999999999999996,0.1261394654769301,0.03410430409920018,EXPANSION_SEQUENCE,RANGE_EXPANSION
5m,3,7110,7129,0.34240731157337173,20,0.6,0.4,0.5263157894736842,0.5,0.25,0.25,0.2,0.5341507659752291,0.900741940821702,0.5,0.7,0.19999999999999996,0.254848226027821,0.23360259724270077,MIXED_BEHAVIOUR,MIXED_MICRO_BEHAVIOUR
5m,4,29956,29975,0.3380523925440677,20,0.5,0.5,0.5789473684210527,0.3,0.3,0.3,0.4,0.4271801921231506,1.0947913539291734,0.6,0.4,-0.19999999999999996,-0.27533668341547624,0.08109903563520082,REJECTION_MIX,HIGH_ALTERNATION
5m,5,17394,17413,0.3367324550645847,20,0.55,0.45,0.5789473684210527,0.45,0.35,0.15,0.45,0.6221281191352868,0.9657321014577904,0.4,0.7,0.29999999999999993,-0.034206086939487124,-0.026370530884366472,REJECTION_MIX,DIRECTIONAL_COMPRESSION
