rank,candidate_start,candidate_end,position,index,state,body_pct,range_ratio,upper_wick_pct,lower_wick_pct,close_location
2,20761,20780,2,20762,BEARISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION|LOWER_REJECTION,0.007466973004026814,0.6970273245921527,0.49167145318781125,0.500861573808162,0.500861573808162
2,20761,20780,3,20763,BULLISH|MEDIUM_BODY|COMPRESSION|LOWER_REJECTION|CLOSE_HIGH,0.4154818325434372,0.6335702131918721,0.08436018957346299,0.5001579778830998,0.915639810426537
2,20761,20780,4,20764,BULLISH|MEDIUM_BODY|COMPRESSION|LOWER_REJECTION|CLOSE_HIGH,0.3705202312138605,0.692623361024937,0.11647398843932406,0.5130057803468154,0.8835260115606759
2,20761,20780,5,20765,BULLISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION|CLOSE_LOW,0.19296895047473409,0.7801020918827077,0.7603284577880399,0.046702591737226,0.23967154221196008
2,20761,20780,6,20766,BEARISH|LARGE_BODY|COMPRESSION|CLOSE_LOW|STRONG_BEAR,0.7516863406407983,0.5032887757267176,0.028246205733560945,0.22006745362564076,0.22006745362564076
2,20761,20780,7,20767,BULLISH|LARGE_BODY|COMPRESSION|CLOSE_HIGH|STRONG_BULL,0.7630639402791273,0.701103652292645,0.09055501460564516,0.1463810451152275,0.9094449853943548
2,20761,20780,8,20768,BEARISH|MEDIUM_BODY|COMPRESSION|LOWER_REJECTION,0.5725047080979176,0.6524944703858477,0.018832391713747516,0.40866290018833484,0.40866290018833484
2,20761,20780,9,20769,BULLISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION|LOWER_REJECTION,0.13005632360471053,1.0011534025374758,0.3730158730158704,0.49692780337941905,0.6269841269841295
2,20761,20780,10,20770,BEARISH|MEDIUM_BODY|EXPANSION|CLOSE_LOW,0.4664778092540034,1.29986498097462,0.3050047214353224,0.22851746931067418,0.22851746931067418
2,20761,20780,11,20771,BEARISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION|LOWER_REJECTION,0.15722879070732051,1.1835031299865084,0.36258037751502903,0.48019083177765043,0.48019083177765043
2,20761,20780,12,20772,BEARISH|LARGE_BODY|EXPANSION|CLOSE_LOW|STRONG_BEAR,0.7163607701835334,2.1801890266355985,0.06958675824794801,0.21405247156851856,0.21405247156851856
2,20761,20780,13,20773,BEARISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION|CLOSE_LOW,0.5442081701175263,1.754756352031426,0.37059317291550004,0.08519865696697361,0.08519865696697361
2,20761,20780,14,20774,BULLISH|LARGE_BODY|NORMAL_RANGE|CLOSE_HIGH|STRONG_BULL,0.7308034390750133,0.8645392797642082,0.23539875481765457,0.033797806107332094,0.7646012451823454
2,20761,20780,15,20775,BEARISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION|CLOSE_LOW,0.24629252689735895,0.9321046212223858,0.5379470776388434,0.2157603954637977,0.2157603954637977
2,20761,20780,16,20776,BEARISH|LARGE_BODY|EXPANSION|CLOSE_LOW|STRONG_BEAR,0.7584985835694136,1.5308307358720394,0.20396600566571557,0.03753541076487088,0.03753541076487088
2,20761,20780,17,20777,BULLISH|MEDIUM_BODY|NORMAL_RANGE,0.4992585269401829,1.0966255590188252,0.2909045971329814,0.20983687592683575,0.7090954028670187
2,20761,20780,18,20778,BULLISH|LARGE_BODY|NORMAL_RANGE|CLOSE_HIGH|STRONG_BULL,0.8527554535017197,0.9440455222869517,0.10390355912746227,0.043340987370818096,0.8960964408725377
2,20761,20780,19,20779,BULLISH|LARGE_BODY|COMPRESSION,0.6597298284045638,0.7421758569299355,0.3399050748448225,0.000365096750613691,0.6600949251551775
2,20761,20780,20,20780,BULLISH|SMALL_BODY|COMPRESSION|LOWER_REJECTION|CLOSE_HIGH,0.2232689590202391,0.6095320126327948,0.17098445595855055,0.6057465850212104,0.8290155440414494
3,15506,15525,1,15506,BEARISH|MEDIUM_BODY|COMPRESSION|CLOSE_LOW,0.5941716135995686,0.6514898479388231,0.1883432271991373,0.21748515920129405,0.21748515920129405
3,15506,15525,2,15507,BULLISH|MEDIUM_BODY|COMPRESSION,0.4092786009230038,0.7237408807242617,0.29657517609910494,0.2941462229778913,0.7034248239008951
3,15506,15525,3,15508,BULLISH|MEDIUM_BODY|COMPRESSION|UPPER_REJECTION,0.4117265954000674,0.542673815592861,0.37382572076449644,0.21444768383543616,0.6261742792355036
3,15506,15525,4,15509,BEARISH|SMALL_BODY|COMPRESSION|LOWER_REJECTION,0.019444444444442426,0.5139644864816657,0.29791666666667804,0.6826388888888795,0.6826388888888795
3,15506,15525,5,15510,BULLISH|LARGE_BODY|COMPRESSION|CLOSE_HIGH|STRONG_BULL,0.8638803680981522,0.49842331581461835,0.013036809815956537,0.1230828220858913,0.9869631901840434
3,15506,15525,6,15511,BULLISH|LARGE_BODY|COMPRESSION|CLOSE_HIGH|STRONG_BULL,0.6850556850556898,0.7378881987577658,0.17845117845117456,0.13649313649313558,0.8215488215488255
3,15506,15525,7,15512,BULLISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION|LOWER_REJECTION,0.09300140911226029,0.4549145299145296,0.41944574917801086,0.48755284170972885,0.5805542508219891
3,15506,15525,8,15513,BULLISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION,0.06395173453996725,0.7724571828032121,0.589743589743588,0.3463046757164448,0.410256410256412
3,15506,15525,9,15514,BULLISH|SMALL_BODY|COMPRESSION|LOWER_REJECTION|CLOSE_HIGH,0.09963985594236908,0.6264728002005481,0.2124849939975987,0.6878751500600322,0.7875150060024013
3,15506,15525,10,15515,BEARISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION|CLOSE_LOW,0.359893522626446,1.4126347455502655,0.45696539485359433,0.18314108251995964,0.18314108251995964
3,15506,15525,11,15516,BULLISH|SMALL_BODY|NORMAL_RANGE|LOWER_REJECTION|CLOSE_HIGH,0.15359653866954662,0.9774018765693137,0.18902109248242924,0.6573823688480241,0.8109789075175707
3,15506,15525,12,15517,BULLISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION,0.31958411453894625,1.4707946853848148,0.6020112493608338,0.07840463610021993,0.39798875063916617
3,15506,15525,13,15518,BULLISH|LARGE_BODY|NORMAL_RANGE|CLOSE_HIGH|STRONG_BULL,0.761582615826157,1.2228628729004851,0.11459614596146213,0.12382123821238088,0.8854038540385378
3,15506,15525,14,15519,BEARISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION|LOWER_REJECTION,0.14063338701019193,0.9822064056939515,0.45625335480407675,0.4031132581857313,0.4031132581857313
3,15506,15525,15,15520,BEARISH|MEDIUM_BODY|NORMAL_RANGE|LOWER_REJECTION,0.47467691232972736,0.7704520990312176,0.03073698917220069,0.49458609849807195,0.49458609849807195
3,15506,15525,16,15521,BEARISH|MEDIUM_BODY|NORMAL_RANGE,0.5008455467869278,0.9584008643976116,0.20659526493799374,0.29255918827507843,0.29255918827507843
3,15506,15525,17,15522,BULLISH|MEDIUM_BODY|NORMAL_RANGE|LOWER_REJECTION|CLOSE_HIGH,0.5079779518421909,0.9514214739166437,0.13344937626921774,0.3585726718885914,0.8665506237307823
3,15506,15525,18,15523,BULLISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION,0.09010773751222743,0.5838456040028666,0.6552399608227258,0.2546523016650467,0.34476003917727416
3,15506,15525,19,15524,BEARISH|SMALL_BODY|NORMAL_RANGE|LOWER_REJECTION,0.231889469753551,0.765689778413152,0.042569081404028514,0.7255414488424206,0.7255414488424206
3,15506,15525,20,15525,BULLISH|LARGE_BODY|NORMAL_RANGE|CLOSE_HIGH|STRONG_BULL,0.7975129047395558,1.2185847033595505,0.10441107461285382,0.09807602064759037,0.8955889253871462
4,18791,18810,1,18791,BULLISH|LARGE_BODY|COMPRESSION|CLOSE_HIGH|STRONG_BULL,0.6366300366300031,0.7420494699646608,0.14725274725276227,0.21611721611723467,0.8527472527472377
4,18791,18810,2,18792,BULLISH|MEDIUM_BODY|NORMAL_RANGE,0.563909774436105,0.8676270725740365,0.2813283208019987,0.15476190476189627,0.7186716791980012
4,18791,18810,3,18793,BULLISH|SMALL_BODY|COMPRESSION|LOWER_REJECTION|CLOSE_HIGH,0.09589041095892231,0.5952704539276811,0.08310502283103832,0.8210045662100394,0.9168949771689617
4,18791,18810,4,18794,BULLISH|MEDIUM_BODY|COMPRESSION|LOWER_REJECTION,0.3443478260869597,0.6299643933168957,0.2608695652173913,0.394782608695649,0.7391304347826086
4,18791,18810,5,18795,BULLISH|MEDIUM_BODY|NORMAL_RANGE|LOWER_REJECTION|CLOSE_HIGH,0.4304985337243556,0.9668273320102044,0.007624633431064896,0.5618768328445795,0.9923753665689351
4,18791,18810,6,18796,BEARISH|LARGE_BODY|NORMAL_RANGE|STRONG_BEAR,0.693793103448272,0.8719182200842033,0.045517241379300306,0.2606896551724276,0.2606896551724276
4,18791,18810,7,18797,BEARISH|LARGE_BODY|COMPRESSION|CLOSE_LOW|STRONG_BEAR,0.7312252964427046,0.6291576002486885,0.094861660079056,0.17391304347823938,0.17391304347823938
4,18791,18810,8,18798,BULLISH|MEDIUM_BODY|COMPRESSION|UPPER_REJECTION,0.26629680998613914,0.4620314001922546,0.6393897364770664,0.09431345353679439,0.3606102635229335
4,18791,18810,9,18799,BULLISH|LARGE_BODY|NORMAL_RANGE|CLOSE_HIGH|STRONG_BULL,0.7469586374695937,0.8239224858002001,0.15652879156527555,0.0965125709651307,0.8434712084347245
4,18791,18810,10,18800,BULLISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION,0.08624708624706154,0.5880740233036309,0.6585081585081747,0.25524475524476375,0.3414918414918253
4,18791,18810,11,18801,BULLISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION,0.15244347191828483,0.9719957461892959,0.6878191101386044,0.15973741794311078,0.31218088986139564
4,18791,18810,12,18802,BULLISH|MEDIUM_BODY|EXPANSION,0.4407014305491532,1.53633463310883,0.3267189663128705,0.23257960313797632,0.6732810336871295
4,18791,18810,13,18803,BULLISH|LARGE_BODY|NORMAL_RANGE|CLOSE_HIGH|STRONG_BULL,0.6198347107438041,0.9729532163742605,0.19984973703980957,0.18031555221638623,0.8001502629601904
4,18791,18810,14,18804,BULLISH|MEDIUM_BODY|NORMAL_RANGE|UPPER_REJECTION,0.38548539114044267,0.7870919881305721,0.36380772855797183,0.25070688030158556,0.6361922714420282
4,18791,18810,15,18805,BEARISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION|CLOSE_LOW,0.5547826086956616,1.2796735905044492,0.3501449275362298,0.09507246376810856,0.09507246376810856
4,18791,18810,16,18806,BEARISH|MEDIUM_BODY|COMPRESSION|UPPER_REJECTION|CLOSE_LOW,0.31079136690646203,0.5155786350148226,0.49928057553955263,0.18992805755398537,0.18992805755398537
4,18791,18810,17,18807,BULLISH|MEDIUM_BODY|NORMAL_RANGE|UPPER_REJECTION,0.5598503740648403,1.1899109792284823,0.4033665835411356,0.03678304239402412,0.5966334164588645
4,18791,18810,18,18808,BULLISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION|CLOSE_LOW,0.044321329639910305,0.5356083086053595,0.8988919667590038,0.056786703601085876,0.10110803324099618
4,18791,18810,19,18809,BULLISH|MEDIUM_BODY|COMPRESSION|UPPER_REJECTION,0.5653753026634082,0.644305772230874,0.4346246973365918,0.0,0.5653753026634082
4,18791,18810,20,18810,BULLISH|SMALL_BODY|COMPRESSION|LOWER_REJECTION,0.030075187969984582,0.4464960134284285,0.27255639097742435,0.6973684210525911,0.7274436090225757
5,17447,17466,1,17447,BEARISH|LARGE_BODY|COMPRESSION|CLOSE_LOW|STRONG_BEAR,0.6153161175423038,0.6018220793140427,0.23330365093498545,0.15138023152271085,0.15138023152271085
5,17447,17466,2,17448,BULLISH|MEDIUM_BODY|COMPRESSION|UPPER_REJECTION,0.520784313725498,0.6832797427652746,0.4078431372548877,0.07137254901961426,0.5921568627451123
5,17447,17466,3,17449,BULLISH|LARGE_BODY|NORMAL_RANGE|CLOSE_HIGH|STRONG_BULL,0.6556721639180358,1.0723472668810303,0.14942528735632235,0.1949025487256418,0.8505747126436777
5,17447,17466,4,17450,BULLISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION|LOWER_REJECTION,0.13299232736572533,0.45465116279069284,0.5089514066496228,0.35805626598465184,0.49104859335037715
5,17447,17466,5,17451,BULLISH|MEDIUM_BODY|COMPRESSION|UPPER_REJECTION,0.5151219512195095,0.6949152542372882,0.48487804878049046,0.0,0.5151219512195095
5,17447,17466,6,17452,BULLISH|MEDIUM_BODY|NORMAL_RANGE|CLOSE_HIGH,0.5939086294416299,1.0391861341371502,0.23060188542422566,0.17548948513414445,0.7693981145757743
5,17447,17466,7,17453,BULLISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION,0.382526564344746,1.9148455162019682,0.5765446674537601,0.04092876820149391,0.4234553325462399
5,17447,17466,8,17454,BULLISH|MEDIUM_BODY|NORMAL_RANGE|UPPER_REJECTION,0.4147398843930667,1.0429540316503343,0.3634393063583817,0.22182080924855163,0.6365606936416183
5,17447,17466,9,17455,BEARISH|MEDIUM_BODY|NORMAL_RANGE|LOWER_REJECTION,0.5523138832997967,0.7910863509749384,0.02313883299798963,0.4245472837022137,0.4245472837022137
5,17447,17466,10,17456,BULLISH|MEDIUM_BODY|COMPRESSION|UPPER_REJECTION,0.3138461538461482,0.5269558167815193,0.6861538461538518,0.0,0.3138461538461482
5,17447,17466,11,17457,BULLISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION,0.5022900763358801,2.12403729225782,0.36946564885496364,0.12824427480915626,0.6305343511450364
5,17447,17466,12,17458,BULLISH|LARGE_BODY|EXPANSION|CLOSE_HIGH|STRONG_BULL,0.7705278592375346,3.317389541953817,0.20112414467253187,0.028347996089933523,0.7988758553274682
5,17447,17466,13,17459,BULLISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION,0.442685429492816,2.7653019862180876,0.46144825564350794,0.09586631486367608,0.5385517443564921
5,17447,17466,14,17460,BULLISH|SMALL_BODY|EXPANSION|UPPER_REJECTION,0.10644992134242158,1.517707918822127,0.5972732039853245,0.29627687467225394,0.4027267960146755
5,17447,17466,15,17461,BEARISH|MEDIUM_BODY|EXPANSION,0.4877657440834401,1.8786737000753482,0.25872442839951304,0.25350982751704687,0.25350982751704687
5,17447,17466,16,17462,BEARISH|MEDIUM_BODY|EXPANSION,0.5235325224748836,1.425018839487574,0.1813855103120068,0.29508196721310964,0.29508196721310964
5,17447,17466,17,17463,BULLISH|LARGE_BODY|EXPANSION|CLOSE_HIGH|STRONG_BULL,0.7814385150812067,1.5598986608758794,0.1962877030162405,0.022273781902552862,0.8037122969837596
5,17447,17466,18,17464,BEARISH|MEDIUM_BODY|NORMAL_RANGE|LOWER_REJECTION,0.4840457555689285,1.0909688013136356,0.047561709813362885,0.46839253461770863,0.46839253461770863
5,17447,17466,19,17465,BULLISH|MEDIUM_BODY|NORMAL_RANGE|UPPER_REJECTION,0.35313001605135846,1.0589235127478729,0.5719636169074384,0.07490636704120315,0.42803638309256165
5,17447,17466,20,17466,BEARISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION|CLOSE_LOW,0.20170757737460793,0.5308781869688425,0.6083244397011711,0.18996798292422096,0.18996798292422096
6,25464,25483,1,25464,BEARISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION,0.07318467695826027,0.9820325659741691,0.5957690108633413,0.3310463121783984,0.3310463121783984
6,25464,25483,2,25465,BEARISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION|CLOSE_LOW,0.035460992907822765,0.4750140370578331,0.7494089834515237,0.21513002364065348,0.21513002364065348
6,25464,25483,3,25466,BULLISH|MEDIUM_BODY|COMPRESSION|LOWER_REJECTION|CLOSE_HIGH,0.42028985507246047,0.5036496350364962,0.16164994425864448,0.41806020066889504,0.8383500557413555
6,25464,25483,4,25467,BULLISH|MEDIUM_BODY|COMPRESSION|CLOSE_HIGH,0.4916201117318828,0.40202133632789616,0.19832402234635116,0.31005586592176604,0.8016759776536488
6,25464,25483,5,25468,BULLISH|LARGE_BODY|NORMAL_RANGE|CLOSE_HIGH|STRONG_BULL,0.6216867469879513,0.9738926371369874,0.09397590361445506,0.2843373493975936,0.9060240963855449
6,25464,25483,6,25469,BULLISH|MEDIUM_BODY|NORMAL_RANGE,0.5017642907551068,0.8834164588528743,0.33803810868032225,0.16019760056457094,0.6619618913196778
6,25464,25483,7,25470,BULLISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION,0.28982300884956097,1.690773067331682,0.36725663716814133,0.3429203539822977,0.6327433628318586
6,25464,25483,8,25471,BULLISH|LARGE_BODY|EXPANSION|CLOSE_HIGH|STRONG_BULL,0.6176598521096306,1.4332917705735557,0.24488908220964367,0.13745106568072574,0.7551109177903563
6,25464,25483,9,25472,BEARISH|MEDIUM_BODY|NORMAL_RANGE|UPPER_REJECTION,0.38177874186550664,1.1496259351621008,0.36767895878525925,0.2505422993492341,0.2505422993492341
6,25464,25483,10,25473,BULLISH|SMALL_BODY|NORMAL_RANGE|UPPER_REJECTION|LOWER_REJECTION,0.1914091936699297,0.8951096121416486,0.43029389600603196,0.37829691032403834,0.569706103993968
6,25464,25483,11,25474,BEARISH|SMALL_BODY|EXPANSION|UPPER_REJECTION|LOWER_REJECTION,0.0007002801120441824,1.9264755480606988,0.5122549019607892,0.4870448179271667,0.4870448179271667
6,25464,25483,12,25475,BEARISH|MEDIUM_BODY|EXPANSION|UPPER_REJECTION|CLOSE_LOW,0.3495892326516341,3.7185570360741025,0.5182660374060492,0.13214472994231674,0.13214472994231674
6,25464,25483,13,25476,BULLISH|LARGE_BODY|EXPANSION|CLOSE_HIGH|STRONG_BULL,0.6284051222351567,2.519800528014089,0.22514551804423893,0.14644935972060436,0.774854481955761
6,25464,25483,14,25477,BEARISH|SMALL_BODY|NORMAL_RANGE|LOWER_REJECTION,0.12408088235293158,1.2112440857222477,0.26470588235294856,0.6112132352941199,0.6112132352941199
6,25464,25483,15,25478,BEARISH|MEDIUM_BODY|NORMAL_RANGE|CLOSE_LOW,0.5632530120481936,1.0421135234109196,0.28212851405622486,0.15461847389558164,0.15461847389558164
6,25464,25483,16,25479,BEARISH|LARGE_BODY|NORMAL_RANGE|CLOSE_LOW|STRONG_BEAR,0.6285900783289617,0.8527692735875263,0.24086161879896018,0.13054830287207805,0.13054830287207805
6,25464,25483,17,25480,BULLISH|LARGE_BODY|EXPANSION|CLOSE_HIGH|STRONG_BULL,0.7414529914529993,1.5630392429724396,0.13924501424500943,0.11930199430199137,0.8607549857549905
6,25464,25483,18,25481,BEARISH|MEDIUM_BODY|COMPRESSION|CLOSE_LOW,0.5222882615155815,0.7492346228778188,0.31277860326894685,0.16493313521547168,0.16493313521547168
6,25464,25483,19,25482,BULLISH|SMALL_BODY|COMPRESSION|UPPER_REJECTION|LOWER_REJECTION,0.0025188916876742614,0.662955747286381,0.5524769101595305,0.4450041981527953,0.44752308984046957
6,25464,25483,20,25483,BULLISH|SMALL_BODY|COMPRESSION|LOWER_REJECTION|CLOSE_HIGH,0.2135458167330878,0.7362863009680383,0.17848605577687246,0.6079681274900397,0.8215139442231275
7,12192,12211,1,12192,BEARISH|LARGE_BODY|EXPANSION|CLOSE_LOW|STRONG_BEAR,0.9696026807084732,2.654383735705192,0.0,0.030397319291526795,0.030397319291526795
7,12192,12211,2,12193,BULLISH|MEDIUM_BODY|NORMAL_RANGE,0.5101796407185674,1.01365705614567,0.2628742514970012,0.22694610778443144,0.7371257485029987
7,12192,12211,3,12194,BEARISH|MEDIUM_BODY|NORMAL_RANGE|LOWER_REJECTION,0.34933123524783966,0.7714719271623737,0.06687647521635771,0.5837922895358026,0.5837922895358026
