timeframe,rank,candidate_start,candidate_end,open_time,close_time,similarity,interaction_count,first_interaction_index,last_interaction_index,break_count,hold_count,rejection_count,pullback_count,repeated_level_hits,reaction_expansion_count,interaction_level_types,direction_first_third,direction_last_third,direction_shift,range_first_third,range_last_third,range_shift,story
1m,21,17266,17285,1788849900000,1788851099999,0.19544380172326437,17,17267,17285,10,4,1,6,11,7,PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH,0.3333333333333333,0.3333333333333333,0.0,1.8966666666665333,1.3316666666667818,-0.5649999999997515,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,22,16888,16907,1788827220000,1788828419999,0.19528382511589723,16,16890,16907,9,5,2,7,8,6,PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH,0.0,0.3333333333333333,0.3333333333333333,1.3716666666666697,1.2800000000000484,-0.09166666666662127,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,23,7576,7595,1788268500000,1788269699999,0.1951703855680882,17,7577,7594,2,5,2,11,11,8,PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH,0.0,-0.3333333333333333,-0.3333333333333333,2.1733333333332516,2.8450000000000273,0.6716666666667757,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,24,6412,6431,1788198660000,1788199859999,0.19514865620956373,12,6413,6430,2,8,4,8,3,3,PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW,0.3333333333333333,0.0,-0.3333333333333333,1.519999999999906,1.3566666666666454,-0.16333333333326072,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
1m,25,17359,17378,1788855480000,1788856679999,0.1951051768103642,11,17360,17378,7,1,0,6,3,4,PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY,0.0,0.0,0.0,1.5750000000000455,1.6000000000001364,0.02500000000009095,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
3m,1,21149,21168,1788020640000,1788024239999,0.3606024429579151,14,21151,21168,5,3,2,9,9,4,PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_HIGH,0.0,0.0,0.0,2.734999999999976,2.400000000000091,-0.33499999999988495,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
3m,2,6938,6957,1785462660000,1785466259999,0.35843502662239035,16,6939,6957,8,3,3,8,8,4,PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH,0.0,-0.6666666666666666,-0.6666666666666666,3.196666666666715,2.556666666666653,-0.6400000000000623,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
3m,3,6629,6648,1785407040000,1785410639999,0.35641327281381985,16,6630,6648,6,7,3,9,7,6,PRIOR_BODY -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_LOW,0.0,0.3333333333333333,0.3333333333333333,0.9549999999999651,1.4983333333332969,0.5433333333333318,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
3m,4,13910,13929,1786717620000,1786721219999,0.35456339709417184,12,13914,13929,1,8,3,5,3,3,PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_LOW -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_HIGH,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0533333333333226,2.315000000000017,0.26166666666669425,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
3m,5,15843,15862,1787065560000,1787069159999,0.34713643275905137,14,15844,15862,4,3,2,9,8,4,PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_HIGH -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_BODY -> PRIOR_HIGH -> PRIOR_BODY -> PRIOR_LOW -> PRIOR_BODY -> PRIOR_LOW,0.3333333333333333,0.0,-0.3333333333333333,2.6466666666666847,1.9600000000000364,-0.6866666666666483,PRIOR_LEVEL_INTERACTION -> PULLBACK_PRESENT -> REJECTION_PRESENT -> LEVEL_BREAK_PRESENT -> LEVEL_HOLD_PRESENT -> REPEATED_LEVEL_TEST -> POST_INTERACTION_EXPANSION
