timeframe,rank,story_similarity,sequence_similarity,feature_similarity,screen_similarity,candidate_start,candidate_end,open_time,close_time,interaction_count,break_count,hold_count,rejection_count,pullback_count,repeated_level_tests,reaction_expansion_count,swing_high_tests,swing_low_tests,body_zone_tests,first_direction,second_direction,direction_shift,first_range,second_range,range_shift,first_body,second_body,body_shift,first_close_location,second_close_location,close_location_shift,first_interaction_position,last_interaction_position,level_count,story,story_event_count,story_phase_count
1m,21,0.6726360781534958,0.7567499999999999,0.4202943126139835,0.6736776422878527,7332,7351,1788253860000,1788255059999,1,0,1,0,0,0,0,0,1,1,0.2,0.4,0.2,1.2170000000000072,1.744999999999982,0.5279999999999747,0.5079999999999927,1.2090000000000145,0.7010000000000218,0.4521917175838568,0.6217191108902493,0.16952739330639255,1.0,1.0,2,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> HOLD_CLUSTER,1,4
1m,22,0.6719702340212943,0.75,0.4378809360851773,0.6696244388817824,27651,27670,1789473000000,1789474199999,2,0,2,0,1,1,1,0,2,0,0.0,0.1,0.1,0.9029999999998836,1.331999999999971,0.4290000000000874,0.6119999999999891,1.0300000000000182,0.4180000000000291,0.5373842229198955,0.5195620477774091,-0.017822175142486407,1.2,1.3,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,2,6
1m,23,0.6695672974934574,0.738,0.46426918997382977,0.6738536115487884,10697,10716,1788455760000,1788456959999,3,0,2,0,1,1,0,3,2,2,-0.2,0.0,0.2,1.6809999999999945,2.048000000000138,0.36700000000014366,0.6260000000001128,1.3470000000001163,0.7210000000000035,0.5032955947312253,0.6293175826931874,0.12602198796196207,1.0,1.9,3,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> HOLD_CLUSTER -> PULLBACK_CLUSTER,3,5
1m,24,0.6659830377632087,0.7235714285714285,0.49321786533854944,0.6725830509987645,16913,16932,1788828720000,1788829919999,5,0,2,1,3,2,3,5,0,3,-0.1,0.0,0.1,1.0129999999999655,1.5910000000000308,0.5780000000000654,0.5720000000000255,1.177000000000089,0.6050000000000636,0.5228418105874809,0.5871887080195651,0.06434689743208422,1.0,1.9,5,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,5,7
1m,25,0.6654713197965662,0.75,0.4118852791862646,0.711469683669159,23871,23890,1789246200000,1789247399999,1,0,1,0,0,0,1,1,0,0,0.1,0.3,0.19999999999999998,0.46700000000005276,0.8860000000001037,0.41900000000005094,0.3170000000000073,0.7530000000000655,0.43600000000005823,0.5602315283400692,0.6552981288011841,0.09506660046111493,1.0,1.0,6,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,1,6
3m,1,0.8582658665130872,1.0,0.43306346605234886,0.7046108272160061,26315,26334,1788950520000,1788954119999,2,0,0,0,1,1,2,0,0,2,0.0,0.2,0.2,2.9170000000000527,2.511999999999989,-0.40500000000006375,1.7980000000000929,1.3140000000001237,-0.4839999999999691,0.49903398092217255,0.5794820704743757,0.08044808955220317,1.0,1.2,3,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,2,4
3m,2,0.8392835022155172,1.0,0.3571340088620689,0.7036368701601606,23714,23733,1788482340000,1788485939999,8,0,6,4,3,5,1,6,2,6,-0.2,-0.2,0.0,4.5759999999999765,3.760000000000036,-0.8159999999999403,2.6290000000000417,1.7349999999998544,-0.8940000000001873,0.38403953689103526,0.4307944699866562,0.046754933095620954,1.0,1.9,5,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,8,4
3m,3,0.8351186753362245,1.0,0.34047470134489816,0.679262126252011,25909,25928,1788877440000,1788881039999,6,0,5,1,3,5,4,6,0,0,0.2,0.2,0.0,4.325,4.050999999999886,-0.2740000000001146,2.4440000000000053,1.7360000000000126,-0.7079999999999926,0.5296217035977391,0.5529998166167005,0.02337811301896142,1.0,1.8,3,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,6,4
3m,4,0.8288843760398521,1.0,0.31553750415940857,0.7103880903444294,5356,5375,1785177900000,1785181499999,7,0,6,1,4,6,3,7,0,0,0.2,0.0,-0.2,3.58900000000001,3.0390000000000326,-0.5499999999999776,2.283999999999969,1.71899999999996,-0.5650000000000093,0.5110513762518728,0.5317505543469719,0.020699178095099136,1.1,1.9,6,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,7,4
3m,5,0.7865638496983498,0.885,0.4912553987933989,0.6684439145511627,18494,18513,1787542740000,1787546339999,6,0,1,1,4,4,1,3,0,3,-0.2,0.0,0.2,3.9119999999999893,3.09699999999998,-0.8150000000000093,2.413000000000011,1.956999999999971,-0.45600000000003993,0.43924305711023504,0.5222756708851101,0.08303261377487503,1.0,1.9,5,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,6,4
3m,6,0.7776391047688798,0.86125,0.5268064190755195,0.6601257799424827,22424,22443,1788250140000,1788253739999,6,0,1,0,2,4,1,0,1,5,-0.2,0.0,0.2,5.5070000000000165,4.505999999999995,-1.0010000000000217,3.17800000000002,2.4340000000000144,-0.7440000000000055,0.36460568666782905,0.4907804028968538,0.12617471622902476,1.2,1.8,5,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,6,5
3m,7,0.7321460043664021,0.79875,0.5323340174656086,0.6939874433917806,26188,26207,1788927660000,1788931259999,4,0,0,1,3,2,1,0,0,4,0.0,0.2,0.2,4.044000000000006,3.2869999999999893,-0.7570000000000165,2.455999999999949,1.650999999999931,-0.8050000000000179,0.6285305606656479,0.537326029804708,-0.09120453086093994,1.0,1.6,5,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,4,5
3m,8,0.7219552254384918,0.7875,0.5253209017539672,0.6829129225183524,26186,26205,1788927300000,1788930899999,3,0,0,2,2,2,1,0,0,3,0.2,0.0,-0.2,3.4010000000000673,3.836999999999944,0.4359999999998765,2.423999999999978,1.8999999999999546,-0.5240000000000236,0.6012338227992043,0.5161959835245794,-0.08503783927462494,1.0,1.8,4,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,3,4
3m,9,0.6984714522719064,0.7875,0.4313858090876258,0.6811471187001994,20181,20200,1787846400000,1787849999999,6,0,3,1,3,4,1,4,0,2,0.2,0.0,-0.2,4.348999999999978,4.267999999999984,-0.08099999999999419,2.5870000000000344,2.416000000000031,-0.17100000000000337,0.5573569318966572,0.5041169321962611,-0.05323999970039617,1.2,1.9,3,INITIAL_BALANCED_BEHAVIOUR -> COUNTERMOVE_AND_RENEWAL -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,6,4
3m,10,0.6802599929993438,0.7875,0.35853997199737536,0.6640441228712609,19213,19232,1787672160000,1787675759999,8,0,5,3,5,5,2,2,6,4,0.0,-0.2,-0.2,4.1760000000000215,3.6260000000000674,-0.5499999999999541,2.1769999999999983,2.15600000000004,-0.020999999999958163,0.5459299097336041,0.36757709275189127,-0.17835281698171285,1.0,1.9,4,INITIAL_BALANCED_BEHAVIOUR -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,8,4
