anchor_rank_1h,anchor_timestamp_1h,combined_similarity,1m_similarity,1m_timestamp,3m_similarity,3m_timestamp,5m_similarity,5m_timestamp,15m_similarity,15m_timestamp,30m_similarity,30m_timestamp,1h_similarity,1h_timestamp,4h_similarity,4h_timestamp,1d_similarity,1d_timestamp,research_note
25,1777442400000,0.32107776354018785,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.45909049599331625,1777445100000,0.1930653591961445,1777444200000,0.3967298821197886,1777442400000,0.28682870210073125,1777492800000,0.3427761330597202,1777420800000,Historical multi-timeframe similarity; not a forecast
270,1778234400000,0.31970082203681877,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.5228698892110096,1778237100000,0.27296425620991177,1778236200000,0.2800755318235139,1778234400000,0.24878923013859275,1778356800000,0.3427761330597202,1777420800000,Historical multi-timeframe similarity; not a forecast
401,1785866400000,0.31956143524420555,0.33676543488264205,1787815080000,0.4055059083880935,1785866040000,0.3310132404537085,1785863700000,0.314530517819764,1785869100000,0.2660797472854472,1785868200000,0.25750772704717634,1785866400000,0.4319457508176836,1785844800000,0.21314315525912939,1786060800000,Historical multi-timeframe similarity; not a forecast
171,1688882400000,0.31872279474394516,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.22425269545871052,1762631100000,0.20712252004122994,1735648200000,0.30381954472825,1688882400000,0.3494136782574823,1688788800000,0.5750423836140869,1689292800000,Historical multi-timeframe similarity; not a forecast
490,1764122400000,0.31768382894334546,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.447552919209471,1764125100000,0.23453482176584123,1764124200000,0.24138112954800656,1764122400000,0.34533403135227725,1764244800000,0.3825361938193654,1763596800000,Historical multi-timeframe similarity; not a forecast
176,1785002400000,0.3171400569360743,0.33676543488264205,1787815080000,0.35770856220028846,1785002040000,0.505233640621087,1784999700000,0.261051294864245,1785005100000,0.24001599278724184,1785004200000,0.3026637527384891,1785002400000,0.34553692039015765,1784980800000,0.1881448570044427,1784332800000,Historical multi-timeframe similarity; not a forecast
42,1765922400000,0.31648027540407,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.3590533534348237,1765925100000,0.3646320507432503,1765924200000,0.3771710232535357,1765922400000,0.3957953764339156,1765972800000,0.14505886351523253,1765324800000,Historical multi-timeframe similarity; not a forecast
27,1775210400000,0.3153544236022109,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.46000965361130186,1775213100000,0.2472513872765633,1775212200000,0.3911345262204415,1775210400000,0.23771432166562237,1775188800000,0.296593964191956,1775692800000,Historical multi-timeframe similarity; not a forecast
8,1719986400000,0.31535319977112,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.22425269545871052,1762631100000,0.20712252004122994,1735648200000,0.43057272742668107,1719986400000,0.25274275463785917,1719892800000,0.5180033647526773,1720396800000,Historical multi-timeframe similarity; not a forecast
61,1764194400000,0.31501926885265197,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.34832656262298445,1764197100000,0.1937035894741412,1764196200000,0.3601222377006457,1764194400000,0.34533403135227725,1764244800000,0.3825361938193654,1763596800000,Historical multi-timeframe similarity; not a forecast
107,1684346400000,0.31454176866949307,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.22425269545871052,1762631100000,0.20712252004122994,1735648200000,0.3319864249955502,1684346400000,0.33867305236212103,1684468800000,0.5241679206465311,1684108800000,Historical multi-timeframe similarity; not a forecast
35,1693778400000,0.3134790766304504,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.22425269545871052,1762631100000,0.20712252004122994,1735648200000,0.3838902910603573,1693778400000,0.48631462396570607,1693684800000,0.3161209466657975,1694476800000,Historical multi-timeframe similarity; not a forecast
312,1763906400000,0.31226086360036726,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.46399083243162076,1763909100000,0.2635295511961667,1763908200000,0.2723288866781234,1763906400000,0.22556990882585978,1763956800000,0.3825361938193654,1763596800000,Historical multi-timeframe similarity; not a forecast
469,1688738400000,0.3112536182459893,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.22425269545871052,1762631100000,0.20712252004122994,1735648200000,0.24406613274460268,1688738400000,0.3494136782574823,1688788800000,0.5750423836140869,1689292800000,Historical multi-timeframe similarity; not a forecast
154,1763474400000,0.30930702976550206,0.33676543488264205,1787815080000,0.3196982374530049,1784217240000,0.23366786351615496,1780619700000,0.4429118349257678,1763477100000,0.20106990494500865,1763476200000,0.31070958769783824,1763474400000,0.24709718088423419,1763380800000,0.3825361938193654,1763596800000,Historical multi-timeframe similarity; not a forecast
