timeframe,pattern_code,count,mean_similarity,best_similarity
3m,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,2,0.34095491765827257,0.341199558578006
3m,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3606024429579151,0.3606024429579151
3m,BEAR_BIASED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.35843502662239035,0.35843502662239035
3m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.35641327281381985,0.35641327281381985
3m,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | LOW_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.35456339709417184,0.35456339709417184
3m,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.3470751626272191,0.3470751626272191
3m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | LARGE_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3394089656411916,0.3394089656411916
3m,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3389083866351877,0.3389083866351877
3m,BALANCED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.3386066452137425,0.3386066452137425
3m,BALANCED | STABLE | LOWER_WICK | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3381004943027936,0.3381004943027936
3m,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3327662024106288,0.3327662024106288
3m,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | LARGE_BODY | RANGE_STABLE | CLOSE_MID,1,0.3299119250000479,0.3299119250000479
3m,BALANCED | STABLE | UPPER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.329895674256261,0.329895674256261
3m,BEAR_BIASED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.32979472102055435,0.32979472102055435
3m,BALANCED | STABLE | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.32776386960985815,0.32776386960985815
